CDS_ID	Start	End
lcl|NC_002942.5_cds_WP_010946188.1_427	477490	478539
lcl|NC_002942.5_cds_WP_010946221.1_459	514890	515432
lcl|NC_002942.5_cds_WP_010946231.1_469	522033	523520
lcl|NC_002942.5_cds_LPG_RS02430_474	528202	528624
lcl|NC_002942.5_cds_WP_010946250.1_489	542925	544196
lcl|NC_002942.5_cds_WP_010946263.1_502	556665	557597
lcl|NC_002942.5_cds_WP_010946266.1_505	559574	560422
lcl|NC_002942.5_cds_WP_010946267.1_506	560931	563144
lcl|NC_002942.5_cds_WP_010946272.1_511	566512	567138
lcl|NC_002942.5_cds_WP_010946280.1_519	575283	576512
lcl|NC_002942.5_cds_WP_016356737.1_560	621111	621530
lcl|NC_002942.5_cds_WP_010946344.1_581	639466	640419
lcl|NC_002942.5_cds_WP_010946348.1_585	644249	645562
lcl|NC_002942.5_cds_WP_010946358.1_596	654121	655545
lcl|NC_002942.5_cds_WP_011213223.1_603	662946	666455
lcl|NC_002942.5_cds_WP_010946366.1_604	666468	666980
lcl|NC_002942.5_cds_WP_010946368.1_606	668041	668580
lcl|NC_002942.5_cds_WP_010946371.1_609	670559	671908
lcl|NC_002942.5_cds_WP_010946379.1_617	680594	682168
lcl|NC_002942.5_cds_WP_010946384.1_622	693821	695227
lcl|NC_002942.5_cds_WP_010946396.1_635	707667	709409
lcl|NC_002942.5_cds_WP_010946401.1_640	715277	715930
lcl|NC_002942.5_cds_WP_010946421.1_659	734908	736314
lcl|NC_002942.5_cds_WP_010946432.1_670	755316	758165
lcl|NC_002942.5_cds_WP_010946433.1_671	758172	759884
lcl|NC_002942.5_cds_WP_010946445.1_683	772451	773413
lcl|NC_002942.5_cds_WP_010946453.1_691	781434	782447
lcl|NC_002942.5_cds_WP_010946470.1_708	799869	801317
lcl|NC_002942.5_cds_WP_010946472.1_710	803263	806529
lcl|NC_002942.5_cds_WP_010946475.1_712	807400	808782
lcl|NC_002942.5_cds_WP_010946490.1_728	823867	825000
lcl|NC_002942.5_cds_WP_010946493.1_731	827201	827764
lcl|NC_002942.5_cds_WP_010946498.1_736	832277	833233
lcl|NC_002942.5_cds_WP_010946524.1_763	861690	862226
lcl|NC_002942.5_cds_WP_011213317.1_767	866850	867551
lcl|NC_002942.5_cds_WP_010946533.1_770	870831	871481
lcl|NC_002942.5_cds_WP_010946555.1_792	898489	899574
lcl|NC_002942.5_cds_WP_010946603.1_842	940306	942132
lcl|NC_002942.5_cds_WP_010946622.1_860	959936	961069
lcl|NC_002942.5_cds_WP_010946633.1_871	972975	973706
lcl|NC_002942.5_cds_WP_010946652.1_890	990018	991469
lcl|NC_002942.5_cds_WP_010946661.1_899	1001252	1002262
lcl|NC_002942.5_cds_WP_010946662.1_900	1002679	1003743
lcl|NC_002942.5_cds_WP_014841277.1_902	1004309	1004908
lcl|NC_002942.5_cds_WP_010946665.1_903	1004905	1005492
lcl|NC_002942.5_cds_WP_010946666.1_904	1005496	1007592
lcl|NC_002942.5_cds_WP_010946675.1_913	1017170	1019359
lcl|NC_002942.5_cds_WP_010946679.1_917	1024610	1025785
lcl|NC_002942.5_cds_WP_010946680.1_918	1025948	1026838
lcl|NC_002942.5_cds_WP_010946698.1_936	1054066	1055307
lcl|NC_002942.5_cds_WP_010946702.1_940	1060107	1060700
lcl|NC_002942.5_cds_WP_010946703.1_941	1061065	1062786
lcl|NC_002942.5_cds_WP_010946704.1_942	1063227	1063967
lcl|NC_002942.5_cds_WP_025862398.1_952	1072751	1073650
lcl|NC_002942.5_cds_WP_025862399.1_953	1073643	1074449
lcl|NC_002942.5_cds_WP_010946720.1_958	1078587	1080140
lcl|NC_002942.5_cds_WP_010946729.1_966	1088219	1088581
lcl|NC_002942.5_cds_WP_010946732.1_969	1089221	1089547
lcl|NC_002942.5_cds_WP_010946805.1_1048	1165936	1167117
lcl|NC_002942.5_cds_LPG_RS05325_1049	1167447	1168695
lcl|NC_002942.5_cds_WP_010946815.1_1056	1174611	1175966
lcl|NC_002942.5_cds_WP_010946818.1_1058	1178481	1179164
lcl|NC_002942.5_cds_WP_010946820.1_1060	1180278	1181522
lcl|NC_002942.5_cds_WP_015444229.1_1061	1181888	1183306
lcl|NC_002942.5_cds_WP_010946835.1_1078	1204272	1205240
lcl|NC_002942.5_cds_WP_010946840.1_1083	1209726	1211000
lcl|NC_002942.5_cds_WP_010946842.1_1085	1211847	1212728
lcl|NC_002942.5_cds_WP_010946843.1_1086	1212967	1215027
lcl|NC_002942.5_cds_WP_010946844.1_1088	1215532	1216227
lcl|NC_002942.5_cds_WP_010946845.1_1089	1216316	1216954
lcl|NC_002942.5_cds_WP_010946854.1_1099	1229115	1230881
lcl|NC_002942.5_cds_WP_010946855.1_1100	1231463	1232233
lcl|NC_002942.5_cds_WP_010946858.1_1103	1235312	1235902
lcl|NC_002942.5_cds_WP_010946863.1_1108	1243201	1244760
lcl|NC_002942.5_cds_WP_010946871.1_1117	1252018	1252986
lcl|NC_002942.5_cds_WP_010946878.1_1125	1258828	1259334
lcl|NC_002942.5_cds_WP_010946879.1_1126	1259593	1261902
lcl|NC_002942.5_cds_WP_010946881.1_1128	1263574	1264077
lcl|NC_002942.5_cds_WP_010946882.1_1129	1264367	1265878
lcl|NC_002942.5_cds_WP_010946886.1_1133	1269764	1270720
lcl|NC_002942.5_cds_WP_010946888.1_1135	1272593	1273675
lcl|NC_002942.5_cds_WP_010946892.1_1139	1278130	1278900
lcl|NC_002942.5_cds_WP_010946900.1_1147	1286250	1288262
lcl|NC_002942.5_cds_WP_010946905.1_1152	1294101	1294520
lcl|NC_002942.5_cds_WP_010946906.1_1153	1294669	1296156
lcl|NC_002942.5_cds_WP_010946914.1_1162	1305872	1306339
lcl|NC_002942.5_cds_WP_010946917.1_1165	1309096	1310988
lcl|NC_002942.5_cds_WP_010946959.1_1210	1353613	1355409
lcl|NC_002942.5_cds_WP_010946961.1_1212	1356847	1358064
lcl|NC_002942.5_cds_WP_010946971.1_1222	1368030	1368293
lcl|NC_002942.5_cds_WP_016356879.1_1224	1368731	1371382
lcl|NC_002942.5_cds_LPG_RS06200_1225	1371592	1372651
lcl|NC_002942.5_cds_WP_010946982.1_1233	1379832	1380872
lcl|NC_002942.5_cds_WP_010946983.1_1234	1380876	1381271
lcl|NC_002942.5_cds_WP_010946985.1_1236	1381429	1382139
lcl|NC_002942.5_cds_WP_010946986.1_1237	1382136	1384616
lcl|NC_002942.5_cds_WP_011214430.1_1238	1384603	1384884
lcl|NC_002942.5_cds_WP_016356891.1_1258	1400011	1400760
lcl|NC_002942.5_cds_WP_010947004.1_1259	1401419	1402483
lcl|NC_002942.5_cds_WP_010947021.1_1277	1416806	1418392
lcl|NC_002942.5_cds_WP_010947043.1_1298	1440709	1444116
lcl|NC_002942.5_cds_LPG_RS06570_1299	1444220	1444375
lcl|NC_002942.5_cds_WP_010947046.1_1302	1445315	1446064
lcl|NC_002942.5_cds_WP_010947047.1_1303	1446245	1447267
lcl|NC_002942.5_cds_WP_010947048.1_1304	1447359	1448246
lcl|NC_002942.5_cds_WP_010947059.1_1315	1464351	1466816
lcl|NC_002942.5_cds_WP_010947085.1_1341	1497609	1500533
lcl|NC_002942.5_cds_WP_010947155.1_1412	1575093	1577747
lcl|NC_002942.5_cds_WP_010947178.1_1435	1596957	1599569
lcl|NC_002942.5_cds_WP_010947182.1_1439	1602449	1602967
lcl|NC_002942.5_cds_WP_010947192.1_1449	1614802	1617492
lcl|NC_002942.5_cds_WP_010947212.1_1469	1638274	1639863
lcl|NC_002942.5_cds_WP_010947213.1_1470	1639917	1640726
lcl|NC_002942.5_cds_WP_010947217.1_1474	1642834	1645431
lcl|NC_002942.5_cds_WP_010947218.1_1475	1645642	1646673
lcl|NC_002942.5_cds_WP_010947220.1_1477	1648274	1649515
lcl|NC_002942.5_cds_WP_010947225.1_1481	1652066	1653862
lcl|NC_002942.5_cds_WP_010947232.1_1488	1662037	1663671
lcl|NC_002942.5_cds_WP_015444499.1_1489	1663729	1666392
lcl|NC_002942.5_cds_WP_010947245.1_1502	1678273	1678854
lcl|NC_002942.5_cds_WP_010947251.1_1508	1684755	1686479
lcl|NC_002942.5_cds_WP_010947275.1_1532	1710317	1711099
lcl|NC_002942.5_cds_WP_010947280.1_1537	1714678	1715424
lcl|NC_002942.5_cds_WP_025862355.1_1563	1741547	1742557
lcl|NC_002942.5_cds_WP_010947307.1_1565	1743361	1743810
lcl|NC_002942.5_cds_WP_010947313.1_1572	1752829	1753596
lcl|NC_002942.5_cds_WP_010947317.1_1576	1755600	1757618
lcl|NC_002942.5_cds_WP_010947327.1_1586	1765512	1766573
lcl|NC_002942.5_cds_WP_010947329.1_1587	1766981	1768267
lcl|NC_002942.5_cds_WP_010947343.1_1601	1783428	1784888
lcl|NC_002942.5_cds_WP_010947348.1_1606	1789603	1790922
lcl|NC_002942.5_cds_WP_010947352.1_1610	1794227	1794619
lcl|NC_002942.5_cds_WP_010947357.1_1615	1800317	1801303
lcl|NC_002942.5_cds_WP_010947366.1_1624	1811280	1812596
lcl|NC_002942.5_cds_WP_010947369.1_1627	1815442	1816695
lcl|NC_002942.5_cds_WP_010947381.1_1639	1829032	1830150
lcl|NC_002942.5_cds_WP_010947384.1_1642	1833166	1833933
lcl|NC_002942.5_cds_WP_010947387.1_1645	1836560	1838041
lcl|NC_002942.5_cds_WP_010947388.1_1646	1838135	1839253
lcl|NC_002942.5_cds_WP_010947393.1_1651	1849247	1850650
lcl|NC_002942.5_cds_WP_010947394.1_1652	1850812	1852203
lcl|NC_002942.5_cds_WP_010947397.1_1656	1856669	1857559
lcl|NC_002942.5_cds_WP_010947410.1_1669	1873124	1874632
lcl|NC_002942.5_cds_WP_010947411.1_1670	1874936	1876333
lcl|NC_002942.5_cds_WP_010947412.1_1671	1876344	1877213
lcl|NC_002942.5_cds_WP_010947414.1_1673	1877800	1879002
lcl|NC_002942.5_cds_WP_010947416.1_1675	1880467	1881093
lcl|NC_002942.5_cds_WP_010947419.1_1678	1885806	1887116
lcl|NC_002942.5_cds_WP_010947428.1_1685	1895076	1896758
lcl|NC_002942.5_cds_WP_010947429.1_1686	1896894	1898534
lcl|NC_002942.5_cds_WP_010947443.1_1700	1911490	1911948
lcl|NC_002942.5_cds_WP_010947444.1_1701	1912012	1913700
lcl|NC_002942.5_cds_WP_010947445.1_1702	1914091	1915728
lcl|NC_002942.5_cds_WP_010947477.1_1734	1953138	1954448
lcl|NC_002942.5_cds_WP_010947478.1_1735	1954461	1955108
lcl|NC_002942.5_cds_WP_010947479.1_1736	1955401	1956768
lcl|NC_002942.5_cds_WP_010947492.1_1749	1971563	1973947
lcl|NC_002942.5_cds_WP_010947502.1_1759	1984497	1984982
lcl|NC_002942.5_cds_WP_010947503.1_1760	1985069	1986559
lcl|NC_002942.5_cds_WP_223804290.1_1780	2003217	2003450
lcl|NC_002942.5_cds_LPG_RS09005_1781	2003539	2003700
lcl|NC_002942.5_cds_WP_010947523.1_1782	2004190	2005470
lcl|NC_002942.5_cds_WP_010947524.1_1783	2005655	2006851
lcl|NC_002942.5_cds_WP_010947527.1_1787	2010421	2011467
lcl|NC_002942.5_cds_WP_010947529.1_1788	2011770	2012705
lcl|NC_002942.5_cds_WP_011946744.1_1797	2024526	2027087
lcl|NC_002942.5_cds_WP_010947538.1_1798	2027092	2030322
lcl|NC_002942.5_cds_WP_010947562.1_1822	2056349	2057767
lcl|NC_002942.5_cds_WP_010947568.1_1829	2063715	2065880
lcl|NC_002942.5_cds_WP_010947577.1_1838	2072773	2073435
lcl|NC_002942.5_cds_WP_010947587.1_1848	2087055	2088281
lcl|NC_002942.5_cds_WP_015444405.1_1849	2088404	2090254
lcl|NC_002942.5_cds_WP_016356938.1_1858	2097849	2099174
lcl|NC_002942.5_cds_WP_010947601.1_1862	2102459	2103676
lcl|NC_002942.5_cds_WP_010947605.1_1866	2105414	2106745
lcl|NC_002942.5_cds_WP_010947607.1_1868	2108003	2109724
lcl|NC_002942.5_cds_WP_010947624.1_1886	2126619	2128424
lcl|NC_002942.5_cds_WP_010947638.1_1900	2143532	2144203
lcl|NC_002942.5_cds_WP_025862385.1_1901	2144181	2146139
lcl|NC_002942.5_cds_WP_010947641.1_1903	2146745	2149537
lcl|NC_002942.5_cds_WP_010947649.1_1910	2158158	2158772
lcl|NC_002942.5_cds_WP_010947663.1_1924	2174909	2175658
lcl|NC_002942.5_cds_WP_010947664.1_1925	2175670	2176677
lcl|NC_002942.5_cds_WP_010947665.1_1926	2176986	2178326
lcl|NC_002942.5_cds_WP_010947666.1_1927	2178619	2179743
lcl|NC_002942.5_cds_WP_010947669.1_1930	2181810	2184092
lcl|NC_002942.5_cds_WP_010947672.1_1933	2186648	2187751
lcl|NC_002942.5_cds_WP_010947674.1_1935	2189637	2191265
lcl|NC_002942.5_cds_WP_010947675.1_1936	2191518	2193512
lcl|NC_002942.5_cds_WP_010947676.1_1937	2193697	2194470
lcl|NC_002942.5_cds_WP_010947678.1_1939	2196167	2196733
lcl|NC_002942.5_cds_WP_010947679.1_1940	2196799	2198898
lcl|NC_002942.5_cds_WP_010947680.1_1941	2199220	2200530
lcl|NC_002942.5_cds_WP_010947681.1_1942	2200794	2203760
lcl|NC_002942.5_cds_WP_010947682.1_1943	2204165	2205730
lcl|NC_002942.5_cds_WP_010947685.1_1948	2208464	2210371
lcl|NC_002942.5_cds_WP_010947688.1_1951	2212015	2212392
lcl|NC_002942.5_cds_WP_010947691.1_1955	2214817	2215467
lcl|NC_002942.5_cds_WP_010947692.1_1956	2215443	2216303
lcl|NC_002942.5_cds_WP_010947694.1_1958	2217148	2219082
lcl|NC_002942.5_cds_WP_010947702.1_1965	2226164	2229016
lcl|NC_002942.5_cds_WP_010947713.1_1976	2237116	2237430
lcl|NC_002942.5_cds_WP_010947716.1_1979	2239250	2240167
lcl|NC_002942.5_cds_WP_010947717.1_1980	2240180	2242036
lcl|NC_002942.5_cds_WP_010947718.1_1981	2242058	2242393
lcl|NC_002942.5_cds_WP_015444342.1_1985	2245044	2246897
lcl|NC_002942.5_cds_WP_010947729.1_1993	2253222	2254256
lcl|NC_002942.5_cds_WP_010947749.1_2013	2276012	2278084
lcl|NC_002942.5_cds_WP_010947766.1_2030	2292022	2293080
lcl|NC_002942.5_cds_WP_010947770.1_2034	2296937	2297941
lcl|NC_002942.5_cds_WP_010947782.1_2048	2309882	2311333
lcl|NC_002942.5_cds_WP_010947790.1_2055	2319208	2325153
lcl|NC_002942.5_cds_WP_015444244.1_2058	2327599	2330319
lcl|NC_002942.5_cds_WP_010947793.1_2059	2330325	2331710
lcl|NC_002942.5_cds_WP_010947798.1_2064	2335389	2336384
lcl|NC_002942.5_cds_WP_015444241.1_2067	2337314	2339866
lcl|NC_002942.5_cds_LPG_RS10545_2078	2345886	2346917
lcl|NC_002942.5_cds_WP_010947827.1_2096	2359302	2359685
lcl|NC_002942.5_cds_WP_015444229.1_2098	2361202	2362620
lcl|NC_002942.5_cds_WP_010947829.1_2099	2362653	2363828
lcl|NC_002942.5_cds_WP_010947830.1_2100	2363881	2364906
lcl|NC_002942.5_cds_WP_010947831.1_2101	2365065	2366483
lcl|NC_002942.5_cds_WP_010947833.1_2103	2367160	2368566
lcl|NC_002942.5_cds_WP_010947842.1_2112	2374714	2375256
lcl|NC_002942.5_cds_WP_010947848.1_2118	2384233	2385849
lcl|NC_002942.5_cds_WP_010947858.1_2128	2394467	2395915
lcl|NC_002942.5_cds_WP_010947859.1_2129	2395991	2397271
lcl|NC_002942.5_cds_WP_010947860.1_2130	2397359	2397718
lcl|NC_002942.5_cds_WP_010947864.1_2134	2401678	2406279
lcl|NC_002942.5_cds_WP_015444210.1_2135	2406493	2407614
lcl|NC_002942.5_cds_WP_010947866.1_2136	2407667	2410288
lcl|NC_002942.5_cds_WP_015444209.1_2137	2410569	2416334
lcl|NC_002942.5_cds_WP_015444208.1_2138	2416714	2421213
lcl|NC_002942.5_cds_WP_010947871.1_2141	2423699	2425147
lcl|NC_002942.5_cds_WP_010947877.1_2147	2431605	2432864
lcl|NC_002942.5_cds_WP_010945905.1_2154	2438461	2439636
lcl|NC_002942.5_cds_WP_010947885.1_2156	2440714	2442540
lcl|NC_002942.5_cds_WP_010947893.1_2164	2457486	2458892
lcl|NC_002942.5_cds_WP_010947899.1_2168	2472187	2474049
lcl|NC_002942.5_cds_WP_010947908.1_2176	2481832	2482464
lcl|NC_002942.5_cds_WP_010947909.1_2177	2482630	2483166
lcl|NC_002942.5_cds_WP_010947915.1_2183	2489349	2490449
lcl|NC_002942.5_cds_WP_010947924.1_2192	2498937	2500532
lcl|NC_002942.5_cds_WP_010947925.1_2193	2500553	2502325
lcl|NC_002942.5_cds_WP_010947931.1_2199	2508818	2509945
lcl|NC_002942.5_cds_WP_010947932.1_2200	2510199	2511422
lcl|NC_002942.5_cds_WP_010947933.1_2201	2512062	2513843
lcl|NC_002942.5_cds_WP_010947948.1_2217	2533540	2537397
lcl|NC_002942.5_cds_WP_010947957.1_2226	2549049	2551283
lcl|NC_002942.5_cds_WP_010947967.1_2236	2560946	2561236
lcl|NC_002942.5_cds_WP_010947980.1_2249	2574377	2575027
lcl|NC_002942.5_cds_WP_010948004.1_2271	2596514	2597791
lcl|NC_002942.5_cds_WP_010948006.1_2273	2601375	2602778
lcl|NC_002942.5_cds_WP_010948017.1_2284	2610805	2614308
lcl|NC_002942.5_cds_WP_010948028.1_2296	2623900	2625825
lcl|NC_002942.5_cds_WP_010948029.1_2297	2625912	2627033
lcl|NC_002942.5_cds_WP_010948033.1_2301	2631759	2632652
lcl|NC_002942.5_cds_WP_010948034.1_2302	2632916	2633299
lcl|NC_002942.5_cds_WP_015444130.1_2319	2647121	2647636
lcl|NC_002942.5_cds_WP_010948051.1_2321	2648364	2650133
lcl|NC_002942.5_cds_WP_010948057.1_2327	2655484	2656404
lcl|NC_002942.5_cds_WP_010948065.1_2336	2663704	2664147
lcl|NC_002942.5_cds_WP_015444121.1_2339	2668117	2669292
lcl|NC_002942.5_cds_WP_010948074.1_2347	2674400	2675338
lcl|NC_002942.5_cds_WP_010948076.1_2350	2677194	2678462
lcl|NC_002942.5_cds_WP_010948086.1_2362	2687420	2688874
lcl|NC_002942.5_cds_WP_010948095.1_2372	2702256	2703560
lcl|NC_002942.5_cds_WP_010948096.1_2373	2703828	2704712
lcl|NC_002942.5_cds_WP_010948104.1_2381	2711277	2712341
lcl|NC_002942.5_cds_WP_010948110.1_2387	2717701	2718798
lcl|NC_002942.5_cds_WP_010948111.1_2388	2718993	2719298
lcl|NC_002942.5_cds_WP_010948113.1_2390	2720506	2721324
lcl|NC_002942.5_cds_WP_010948114.1_2391	2721767	2723764
lcl|NC_002942.5_cds_WP_010948115.1_2392	2723867	2724694
lcl|NC_002942.5_cds_WP_010948120.1_2398	2728074	2729180
lcl|NC_002942.5_cds_WP_010948124.1_2402	2732983	2733534
lcl|NC_002942.5_cds_LPG_RS12195_2403	2733642	2734701
lcl|NC_002942.5_cds_WP_010948125.1_2404	2734836	2737097
lcl|NC_002942.5_cds_WP_010948127.1_2406	2739205	2740551
lcl|NC_002942.5_cds_WP_010948128.1_2407	2741056	2741862
lcl|NC_002942.5_cds_WP_010948136.1_2416	2749238	2750998
lcl|NC_002942.5_cds_WP_010948137.1_2417	2751265	2751759
lcl|NC_002942.5_cds_WP_010948146.1_2426	2757867	2758424
lcl|NC_002942.5_cds_WP_010948147.1_2427	2758651	2759265
lcl|NC_002942.5_cds_WP_010948154.1_2435	2764049	2766814
lcl|NC_002942.5_cds_WP_010948158.1_2440	2769925	2771340
lcl|NC_002942.5_cds_WP_010948163.1_2445	2774397	2775035
lcl|NC_002942.5_cds_WP_010948166.1_2448	2777324	2779267
lcl|NC_002942.5_cds_WP_010948167.1_2449	2779337	2780860
lcl|NC_002942.5_cds_WP_010948184.1_2466	2795479	2796825
lcl|NC_002942.5_cds_WP_010948192.1_2475	2804259	2808143
lcl|NC_002942.5_cds_WP_010948200.1_2484	2815381	2816313
lcl|NC_002942.5_cds_WP_010948206.1_2491	2820928	2823756
lcl|NC_002942.5_cds_WP_010948207.1_2492	2823758	2824645
lcl|NC_002942.5_cds_WP_010948210.1_2495	2827446	2829869
lcl|NC_002942.5_cds_WP_010948211.1_2496	2829940	2831133
lcl|NC_002942.5_cds_WP_010948212.1_2497	2831384	2834110
lcl|NC_002942.5_cds_WP_010948213.1_2498	2834261	2837014
lcl|NC_002942.5_cds_WP_010948225.1_2510	2849475	2851814
lcl|NC_002942.5_cds_WP_010948227.1_2512	2852975	2854309
lcl|NC_002942.5_cds_WP_010948228.1_2513	2854590	2855957
lcl|NC_002942.5_cds_WP_010948229.1_2514	2856264	2857940
lcl|NC_002942.5_cds_WP_010948231.1_2517	2859811	2861529
lcl|NC_002942.5_cds_WP_010948240.1_2528	2869817	2871232
lcl|NC_002942.5_cds_WP_010948241.1_2529	2871814	2872221
lcl|NC_002942.5_cds_WP_010948243.1_2531	2872931	2873764
lcl|NC_002942.5_cds_WP_010948248.1_2537	2878610	2880019
lcl|NC_002942.5_cds_WP_010948254.1_2543	2884137	2885804
lcl|NC_002942.5_cds_WP_010948257.1_2546	2888571	2889425
lcl|NC_002942.5_cds_WP_010948258.1_2547	2890013	2891401
lcl|NC_002942.5_cds_LPG_RS12915_2549	2892351	2892845
lcl|NC_002942.5_cds_WP_223804314.1_2556	2898333	2898585
lcl|NC_002942.5_cds_WP_010948274.1_2563	2903857	2904405
lcl|NC_002942.5_cds_WP_010948277.1_2566	2905863	2906621
lcl|NC_002942.5_cds_WP_010948284.1_2574	2913345	2916083
lcl|NC_002942.5_cds_WP_010948288.1_2578	2919924	2921081
lcl|NC_002942.5_cds_WP_010948291.1_2581	2924663	2925160
lcl|NC_002942.5_cds_WP_010948303.1_2593	2937032	2938336
lcl|NC_002942.5_cds_WP_010948328.1_2619	2969395	2970147
lcl|NC_002942.5_cds_WP_010948337.1_2628	2978466	2979677
lcl|NC_002942.5_cds_WP_010948338.1_2629	2980029	2981411
lcl|NC_002942.5_cds_WP_011216546.1_2668	3022703	3023836
lcl|NC_002942.5_cds_WP_010948392.1_2684	3044791	3045321
lcl|NC_002942.5_cds_WP_010948394.1_2686	3046318	3047175
lcl|NC_002942.5_cds_WP_027225287.1_2689	3048511	3049452
lcl|NC_002942.5_cds_WP_010948400.1_2693	3053201	3054682
lcl|NC_002942.5_cds_WP_010948417.1_2711	3069837	3071399
lcl|NC_002942.5_cds_WP_010948419.1_2713	3072810	3073841
lcl|NC_002942.5_cds_WP_010948424.1_2719	3077034	3077663
lcl|NC_002942.5_cds_WP_010948442.1_2737	3094245	3095414
lcl|NC_002942.5_cds_WP_010948443.1_2738	3095575	3097542
lcl|NC_002942.5_cds_WP_015443942.1_2774	3141773	3142096
lcl|NC_002942.5_cds_WP_010948481.1_2776	3143077	3146532
lcl|NC_002942.5_cds_WP_010948491.1_2787	3158378	3159784
lcl|NC_002942.5_cds_WP_010948500.1_2796	3173075	3173935
lcl|NC_002942.5_cds_WP_015443931.1_2798	3175403	3177385
lcl|NC_002942.5_cds_WP_010948503.1_2799	3177469	3179466
lcl|NC_002942.5_cds_WP_010948508.1_2805	3183761	3184573
lcl|NC_002942.5_cds_WP_010948513.1_2810	3189788	3191521
lcl|NC_002942.5_cds_WP_010948515.1_2812	3192992	3194248
lcl|NC_002942.5_cds_WP_010948516.1_2813	3194315	3200992
lcl|NC_002942.5_cds_WP_010948517.1_2814	3201113	3201853
lcl|NC_002942.5_cds_WP_010948518.1_2815	3202105	3203970
lcl|NC_002942.5_cds_WP_010948519.1_2816	3204025	3205665
lcl|NC_002942.5_cds_WP_010948531.1_2828	3218707	3219792
lcl|NC_002942.5_cds_WP_010948548.1_2846	3237892	3239802
lcl|NC_002942.5_cds_WP_010948560.1_2859	3252163	3253047
lcl|NC_002942.5_cds_WP_010948565.1_2864	3258575	3260326
lcl|NC_002942.5_cds_WP_010948570.1_2869	3264725	3265462
lcl|NC_002942.5_cds_WP_010948571.1_2870	3265772	3266326
